  Time                  (V(MagIn))@1          (V(MagIn))@2         
  9.777510714841e-007  1.255944790050e+002  1.255944790518e+002  
  9.812010628295e-007  1.255080641121e+002  1.255080641501e+002  
  9.846510541749e-007  1.253662990142e+002  1.253662990279e+002  
  9.865649893990e-007  1.252626862896e+002  1.252626863086e+002  
  9.900149807444e-007  1.250497199952e+002  1.250497200463e+002  
  9.927750483265e-007  1.248701834111e+002  1.248701834710e+002  
  9.933569816292e-007  1.248317089511e+002  1.248317090105e+002  
  9.945207623184e-007  1.247570292245e+002  1.247570292755e+002  
  9.968483236969e-007  1.246221250550e+002  1.246221250832e+002  
  1.000298315042e-006  1.244661239351e+002  1.244661239424e+002  
  1.003748306388e-006  1.243702567333e+002  1.243702567464e+002  
  1.007198297733e-006  1.243388711570e+002  1.243388711737e+002  
  1.010648289079e-006  1.243707763594e+002  1.243707763615e+002  
  1.014098280424e-006  1.244537362624e+002  1.244537362250e+002  
  1.017548271769e-006  1.245642845086e+002  1.245642844521e+002  
  1.018378663968e-006  1.245940910617e+002  1.245940910057e+002  
  1.020039398383e-006  1.246498623658e+002  1.246498623210e+002  
  1.021828655314e-006  1.246992411842e+002  1.246992411729e+002  
  1.022415049981e-006  1.247126885851e+002  1.247126885897e+002  
  1.023587771367e-006  1.247341346030e+002  1.247341346298e+002  
  1.025933214139e-006  1.247548821493e+002  1.247548821572e+002  
  1.029383205484e-006  1.247283616518e+002  1.247283616123e+002  
  1.032833196830e-006  1.246273802721e+002  1.246273802622e+002  
  1.036283188175e-006  1.244485009808e+002  1.244485009819e+002  
  1.039733179521e-006  1.241987255606e+002  1.241987255599e+002  
  1.043183170866e-006  1.238998152423e+002  1.238998152693e+002  
  1.046633162211e-006  1.235791793231e+002  1.235791793933e+002  
  1.050083153557e-006  1.232575460969e+002  1.232575461755e+002  
  1.053533144902e-006  1.229638935704e+002  1.229638936114e+002  
  1.056983136248e-006  1.227252314012e+002  1.227252313924e+002  
  1.060433127593e-006  1.225620929877e+002  1.225620929485e+002  
  1.063883118938e-006  1.225027698521e+002  1.225027698404e+002  
  1.067333110284e-006  1.225440209920e+002  1.225440210668e+002  
  1.070783101629e-006  1.226804178735e+002  1.226804181033e+002  
  1.074233092975e-006  1.229033573301e+002  1.229033575796e+002  
  1.077683084320e-006  1.232037983409e+002  1.232037983782e+002  
  1.081133075665e-006  1.235645208518e+002  1.235645205576e+002  
  1.084583067011e-006  1.239466236442e+002  1.239466232241e+002  
  1.088033058356e-006  1.243211810337e+002  1.243211807833e+002  
  1.091483049702e-006  1.246799582767e+002  1.246799582833e+002  
  1.094864868235e-006  1.250011814594e+002  1.250011816703e+002  
  1.098314859580e-006  1.252659955427e+002  1.252659957871e+002  
  1.101764850925e-006  1.254621645318e+002  1.254621647093e+002  
  1.105214842271e-006  1.255858404014e+002  1.255858404827e+002  
  1.108664833616e-006  1.256312649014e+002  1.256312649289e+002  
  1.110851088813e-006  1.256237299917e+002  1.256237299894e+002  
  1.114301080159e-006  1.255667668550e+002  1.255667668095e+002  
  1.117751071504e-006  1.254682930525e+002  1.254682929991e+002  
  1.121201062849e-006  1.253402228874e+002  1.253402228259e+002  
  1.124651054195e-006  1.251958305132e+002  1.251958304499e+002  
  1.127521957051e-006  1.250739374153e+002  1.250739373747e+002  
  1.130014980764e-006  1.249738195837e+002  1.249738195778e+002  
  1.132775048347e-006  1.248849102238e+002  1.248849102512e+002  
  1.134520762338e-006  1.248424911307e+002  1.248424911722e+002  
  1.136848323717e-006  1.248043728866e+002  1.248043729380e+002  
  1.140298315062e-006  1.247954967660e+002  1.247954968237e+002  
  1.143748306408e-006  1.248536492351e+002  1.248536492930e+002  
  1.147198297753e-006  1.249742592681e+002  1.249742593198e+002  
  1.150648289099e-006  1.251268433899e+002  1.251268434358e+002  
  1.154098280444e-006  1.252786489959e+002  1.252786490292e+002  
  1.157548271789e-006  1.254213952966e+002  1.254213953092e+002  
  1.158378663988e-006  1.254540836238e+002  1.254540836305e+002  
  1.160039398403e-006  1.255172282430e+002  1.255172282379e+002  
  1.161828655334e-006  1.255832237181e+002  1.255832237007e+002  
  1.162415050001e-006  1.256045167618e+002  1.256045167405e+002  
  1.163587771387e-006  1.256475276548e+002  1.256475276287e+002  
  1.165933214159e-006  1.257355647051e+002  1.257355646705e+002  
  1.169383205504e-006  1.258592914815e+002  1.258592914289e+002  
  1.172833196850e-006  1.259467681178e+002  1.259467680595e+002  
  1.176283188195e-006  1.259715402630e+002  1.259715402101e+002  
  1.179733179541e-006  1.259442292122e+002  1.259442291683e+002  
  1.183183170886e-006  1.258816712165e+002  1.258816711864e+002  
  1.186633162231e-006  1.258107689353e+002  1.258107689326e+002  
  1.190083153577e-006  1.257288220128e+002  1.257288220443e+002  
  1.193533144922e-006  1.256158327293e+002  1.256158327808e+002  
  1.196983136268e-006  1.254547708586e+002  1.254547709196e+002  
  1.200433127613e-006  1.252644929865e+002  1.252644930831e+002  
  1.203883118958e-006  1.250923473770e+002  1.250923474624e+002  
  1.207333110304e-006  1.249889202412e+002  1.249889202199e+002  
  1.210783101649e-006  1.249758528709e+002  1.249758527287e+002  
  1.214233092995e-006  1.250282758348e+002  1.250282757098e+002  
  1.217683084340e-006  1.250935312573e+002  1.250935312298e+002  
  1.221133075685e-006  1.251243782894e+002  1.251243783748e+002  
  1.224583067031e-006  1.250994504601e+002  1.250994506358e+002  
  1.228033058376e-006  1.250319337741e+002  1.250319339631e+002  
  1.231483049722e-006  1.249539964201e+002  1.249539965128e+002  
